,Seedling,SoilSource,Treatment,Tray,Position,SeedlingStatus,HarvestDate,WeighingDate,AG_Dry_mg,BG_Dry_mg,PlantSpecies,ID_num,SoilHostSpecies,Round,Age,Location,GreenhouseRound,PlantDate,Total_Dry_mg
899,L32_Live_La,L_32,Live,Tray21,3,Alive,1/20/18,1/30/18,816.98,488.97,La,32,Lupine,1,8,Sonoma,Round2,8-Oct,1305.95
900,L32_Ster_Ce,L_32,Sterile,Tray21,4,Alive,1/20/18,1/30/18,11.75,4.46,Ce,32,Lupine,1,8,Sonoma,Round2,8-Oct,16.21
902,L32_Live_Ce,L_32,Live,Tray21,6,Alive,1/20/18,1/30/18,2.79,0.97,Ce,32,Lupine,1,8,Sonoma,Round2,8-Oct,3.76
903,I43_Ster_Ce,I_43,Sterile,Tray21,7,Alive,1/20/18,1/30/18,5.91,4.09,Ce,43,IcePlant,2,12,Sonoma,Round2,8-Oct,10
904,A33_Live_Ce,A_33,Live,Tray21,8,Alive,1/20/18,1/30/18,22.62,10.18,Ce,33,Ammophila,2,0.5,Sonoma,Round2,9-Oct,32.8
905,I38_Ster_Aa,I_38,Sterile,Tray21,9,Alive,1/20/18,1/30/18,75.53,67.01,Aa,38,IcePlant,2,7,BMR,Round2,8-Oct,142.54
906,L36_Live_Aa,L_36,Live,Tray21,10,Alive,1/20/18,1/30/18,66.37,45.64,Aa,36,Lupine,2,6,Sonoma,Round2,8-Oct,112.01
911,I38_Ster_La,I_38,Sterile,Tray21,15,Alive,1/20/18,1/30/18,94.66,238.52,La,38,IcePlant,2,7,BMR,Round2,8-Oct,333.18
912,A33_Live_Aa,A_33,Live,Tray21,16,Alive,1/20/18,1/30/18,57.21,41.81,Aa,33,Ammophila,2,0.5,Sonoma,Round2,9-Oct,99.02
913,I30_Live_Ce,I_30,Live,Tray21,17,Alive,1/20/18,1/30/18,11.62,7.15,Ce,30,IcePlant,1,6,Sonoma,Round2,9-Oct,18.77
915,B28_Ster_Aa,B_28,Sterile,Tray21,19,Alive,1/20/18,1/30/18,50.87,49.2,Aa,28,Baccharis,1,24,Sonoma,Round2,8-Oct,100.07
916,I43_Ster_La,I_43,Sterile,Tray21,20,Alive,1/20/18,1/30/18,113.36,159.03,La,43,IcePlant,2,12,Sonoma,Round2,8-Oct,272.39
917,I38_Live_Aa,I_38,Live,Tray21,21,Alive,1/20/18,1/30/18,46.64,28.63,Aa,38,IcePlant,2,7,BMR,Round2,8-Oct,75.27
918,L19_Ster_Aa,L_19,Sterile,Tray21,22,Alive,1/20/18,1/30/18,67.58,62.53,Aa,19,Lupine,2,5,Sonoma,Round2,9-Oct,130.11
919,L54_Ster_La,L_54,Sterile,Tray21,23,Alive,1/20/18,1/30/18,80.61,143.13,La,54,Lupine,1,10,BMR,Round2,9-Oct,223.74
920,I11_Ster_Aa,I_11,Sterile,Tray21,24,Alive,1/20/18,1/30/18,41.87,24.41,Aa,11,IcePlant,1,9,BMR,Round2,8-Oct,66.28
922,A22_Live_Ce,A_22,Live,Tray21,26,Alive,1/20/18,1/30/18,14.82,3.21,Ce,22,Ammophila,1,6,Sonoma,Round2,9-Oct,18.03
923,L74_Live_La,L_74,Live,Tray21,27,Alive,1/20/18,1/30/18,580.28,589.32,La,74,Lupine,2,0.5,Sonoma,Round2,7-Oct,1169.6
925,A21_Live_Aa,A_21,Live,Tray21,29,Alive,1/20/18,1/30/18,26.49,21.45,Aa,21,Ammophila,1,11,Sonoma,Round2,8-Oct,47.94
926,I43_Live_Aa,I_43,Live,Tray21,31,Alive,1/20/18,1/30/18,27.79,21.77,Aa,43,IcePlant,2,12,Sonoma,Round2,8-Oct,49.56
928,L19_Ster_Ce,L_19,Sterile,Tray21,33,Alive,1/20/18,1/30/18,25,8.92,Ce,19,Lupine,2,5,Sonoma,Round2,9-Oct,33.92
929,B27_Live_La,B_27,Live,Tray21,34,Alive,1/20/18,1/30/18,231.9,276.24,La,27,Baccharis,1,20,Sonoma,Round2,9-Oct,508.14
932,L54_Live_Aa,L_54,Live,Tray21,37,Alive,1/20/18,1/30/18,51.84,33.91,Aa,54,Lupine,1,10,BMR,Round2,9-Oct,85.75
935,B27_Live_Ce,B_27,Live,Tray21,40,Alive,1/20/18,1/30/18,8.74,3.2,Ce,27,Baccharis,1,20,Sonoma,Round2,9-Oct,11.94
939,L18_Ster_La,L_18,Sterile,Tray21,44,Alive,1/20/18,1/30/18,60.99,106.95,La,18,Lupine,2,3,Sonoma,Round2,8-Oct,167.94
940,I38_Live_Ce,I_38,Live,Tray21,45,Alive,1/20/18,1/30/18,5.3,1.75,Ce,38,IcePlant,2,7,BMR,Round2,8-Oct,7.05
941,A15_Live_La,A_15,Live,Tray21,46,Alive,1/20/18,1/30/18,1222.34,808.44,La,15,Ammophila,2,26,BMR,Round2,8-Oct,2030.78
942,A11_Ster_Ce,A_11,Sterile,Tray21,47,Alive,1/20/18,1/30/18,11.5,2.92,Ce,11,Ammophila,1,17,BMR,Round2,8-Oct,14.42
945,B24_Ster_La,B_24,Sterile,Tray22,1,Alive,2001/12/18,1/25/18,95.07,143.57,La,24,Baccharis,2,13,Sonoma,Round2,9-Oct,238.64
946,L19_Live_Aa,L_19,Live,Tray22,2,Alive,2001/12/18,1/25/18,40.06,25.97,Aa,19,Lupine,2,5,Sonoma,Round2,9-Oct,66.03
947,I30_Ster_Ce,I_30,Sterile,Tray22,3,Alive,2001/12/18,1/25/18,22.47,8.84,Ce,30,IcePlant,1,6,Sonoma,Round2,9-Oct,31.31
948,A22_Live_La,A_22,Live,Tray22,4,Alive,2001/12/18,1/25/18,138.87,154.84,La,22,Ammophila,1,6,Sonoma,Round2,9-Oct,293.71
956,A22_Live_Aa,A_22,Live,Tray22,12,Alive,2001/12/18,1/25/18,29.27,20.22,Aa,22,Ammophila,1,6,Sonoma,Round2,9-Oct,49.49
958,A27_Live_La,A_27,Live,Tray22,14,Alive,2001/12/18,1/25/18,152.28,87.01,La,27,Ammophila,1,18,Sonoma,Round2,9-Oct,239.29
960,L54_Live_Ce,L_54,Live,Tray22,16,Alive,2001/12/18,1/25/18,9.65,2.78,Ce,54,Lupine,1,10,BMR,Round2,9-Oct,12.43
961,B35_Ster_La,B_35,Sterile,Tray22,18,Alive,2001/12/18,1/25/18,112.48,149.05,La,35,Baccharis,2,0.5,Sonoma,Round2,9-Oct,261.53
962,I30_Live_Aa,I_30,Live,Tray22,19,Alive,2001/12/18,1/25/18,30.34,21.31,Aa,30,IcePlant,1,6,Sonoma,Round2,9-Oct,51.65
963,B35_Ster_Aa,B_35,Sterile,Tray22,21,Alive,2001/12/18,1/25/18,59.16,50.2,Aa,35,Baccharis,2,0.5,Sonoma,Round2,9-Oct,109.36
964,I30_Live_La,I_30,Live,Tray22,22,Alive,2001/12/18,1/25/18,937.48,681.04,La,30,IcePlant,1,6,Sonoma,Round2,9-Oct,1618.52
965,B24_Live_Aa,B_24,Live,Tray22,23,Alive,2001/12/18,1/25/18,30.58,21.12,Aa,24,Baccharis,2,13,Sonoma,Round2,9-Oct,51.7
