,Sample_Name,Sample_Plate_ID,Sample_Taxa,Species,Individual,Plant_ID,Primer_Plate,Primer_Plate_cell,Year_sampled,Year_arrived,Age,Location,X_cor,Y_cor,Date_collected,Time_collected,Status,L_0_note,L_120_note,L_240_note,L_0_use,L_120_use,L_240_use,L_average_use,pH,tare,soil_0,soil_72,theta_d_72,theta_w_72,Individual.New
Ammophila_10_2016,2016F5_50_A_10_0,2016_Fungi_5,Fungi,Ammophila,Ammophila_10,2016_A_10,Plate_10,B7,2016,2005,11,BMR,-123.068993,38.320353,12-Jul,14:30,Alive,NA,NA,NA,0,0,0,0,7.99,2.307,17.307,17.236,0.004755844,0.004733333,Ammophila_10_2016
Ammophila_11_2016,2016F5_82_A_11_120,2016_Fungi_5,Fungi,Ammophila,Ammophila_11,2016_A_11,Plate_10,B11,2016,2000,16,BMR,-123.06938,38.320534,12-Jul,15:24,Alive,NA,NA,NA,0,0,0,0,8.47,2.31,17.312,17.14,0.011598112,0.011465138,Ammophila_11_2016
Ammophila_12_2016,2016F5_12_A_12_120,2016_Fungi_5,Fungi,Ammophila,Ammophila_12,2016_A_12,Plate_10,D2,2016,1991,25,BMR,-123.069439,38.320333,12-Jul,11:16,Alive,NA,NA,NA,0,0,0,0,5.86,2.23,17.231,17.186,0.003008826,0.0029998,Ammophila_12_2016
Ammophila_13_2016,2016F5_51_A_13_0,2016_Fungi_5,Fungi,Ammophila,Ammophila_13,2016_A_13,Plate_10,C7,2016,1991,25,BMR,-123.07011,38.320737,12-Jul,17:37,Alive,NA,NA,Ice,0,0,0,0,7.75,2.271,17.271,17.24,0.002070947,0.002066667,Ammophila_13_2016
Ammophila_14_2016,2016F4_16_A_14_120,2016_Fungi_4,Fungi,Ammophila,Ammophila_14,2016_A_14,Plate_4,H2,2016,2003,13,BMR,-123.069706,38.320716,12-Jul,6:12,Alive,NA,NA,Ice,0,0,0,0,8.57,2.244,17.248,17.219,0.001936561,0.001932818,Ammophila_14_2016
Ammophila_15_2016,2016F4_64_A_15_0,2016_Fungi_4,Fungi,Ammophila,Ammophila_15,2016_A_15,Plate_4,H8,2016,1991,25,BMR,-123.07045,38.3208,12-Jul,17:47,Alive,Br,NA,NA,0,0,0,0,6.86,2.343,17.348,17.294,0.003611799,0.0035988,Ammophila_15_2016
Ammophila_16_2016,2016F4_30_A_16_0,2016_Fungi_4,Fungi,Ammophila,Ammophila_16,2016_A_16,Plate_4,F4,2016,1991,25,Sonoma,-123.068636,38.321351,13-Jul,17:51,Alive,NA,NA,Br,0,0,0,0,8.24,2.246,17.242,17.154,0.005902871,0.005868232,Ammophila_16_2016
Ammophila_17_2016,2016F4_11_A_17_120,2016_Fungi_4,Fungi,Ammophila,Ammophila_17,2016_A_17,Plate_4,C2,2016,1991,25,Sonoma,-123.068257,38.321789,13-Jul,15:37,Alive,NA,NA,NA,0,0,0,0,8.63,2.323,17.325,17.258,0.004486106,0.004466071,Ammophila_17_2016
Ammophila_18_2016,2016F4_77_A_18_0,2016_Fungi_4,Fungi,Ammophila,Ammophila_18,2016_A_18,Plate_4,E10,2016,1991,25,Sonoma,-123.068305,38.321563,13-Jul,17:21,Alive,NA,NA,NA,0,0,0,0,8.51,2.28,17.282,17.211,0.004755207,0.004732702,Ammophila_18_2016
Ammophila_19_2016,2016F5_27_A_19_0,2016_Fungi_5,Fungi,Ammophila,Ammophila_19,2016_A_19,Plate_10,C4,2016,2007,9,Sonoma,-123.068196,38.321462,13-Jul,17:11,Alive,NA,NA,NA,0,0,0,0,8.57,2.211,17.212,17.18,0.002137751,0.002133191,Ammophila_19_2016
