,Sample_Name,Sample_Plate_ID,Sample_Taxa,Species,Individual,Plant_ID,Primer_Plate,Primer_Plate_cell,Year_sampled,Year_arrived,Age,Location,X_cor,Y_cor,Date_collected,Time_collected,Status,L_0_note,L_120_note,L_240_note,L_0_use,L_120_use,L_240_use,L_average_use,pH,tare,soil_0,soil_72,theta_d_72,theta_w_72,Individual.New
Iceplant_47_2016,2016B4_25_I_47_0,2016_Bacteria_4,Bacteria,Iceplant,Iceplant_47,2016_I_47,Plate_8,A4,2016,2012,4,Sonoma,-123.069247,38.321099,14-Jul,10:45,Alive,Br,NA,Br,0,0,0,0,8.23,2.204,17.205,17.159,0.003075894,0.003066462,Iceplant_47_2016
Iceplant_49_2016,2016B3_30_I_49_0,2016_Bacteria_3,Bacteria,Iceplant,Iceplant_49,2016_I_49,Plate_7,F4,2016,2001,15,Sonoma,-123.068521,38.321968,13-Jul,15:41,Alive,Br,NA,Br,6,4.9,6.2,5.7,8.23,2.27,17.266,17.214,0.003479657,0.003467591,Iceplant_49_2016
Iceplant_4_2016,2016B5_52_I_4_0,2016_Bacteria_5,Bacteria,Iceplant,Iceplant_4,2016_I_4,Plate_9,D7,2016,1997,19,BMR,-123.070285,38.320713,11-Jul,16:40,Alive,Am,Am_Br,Am,12,10,6,9.333333333,7.04,2.428,17.428,17.356,0.004823151,0.0048,Iceplant_4_2016
Iceplant_53_2016,2016B1_54_I_53_0,2016_Bacteria_1,Bacteria,Iceplant,Iceplant_53,2016_I_53,Plate_5,F7,2016,2012,4,Sonoma,-123.067596,38.321798,30-Jun,9:37,Alive,Am_B,NA,NA,2.2,0,2.2,1.466666667,8.11,2.238,17.232,17.021,0.014273152,0.014072296,Iceplant_53_2016
Iceplant_55_2016,2016B2_75_I_55_0,2016_Bacteria_2,Bacteria,Iceplant,Iceplant_55,2016_I_55,Plate_6,C10,2016,2004,12,Sonoma,-123.067715,38.322353,30-Jun,11:06,Alive,Am,Am_L,Am,7,8,8,7.666666667,8.27,2.265,17.302,17.243,0.003939111,0.003923655,Iceplant_55_2016
Iceplant_59_2016,2016B1_25_I_59_0,2016_Bacteria_1,Bacteria,Iceplant,Iceplant_59,2016_I_59,Plate_5,A4,2016,1995,21,Sonoma,-123.067591,38.322442,30-Jun,11:16,Alive,Am_L,Am,Am,6.5,6,8.5,7,8.82,2.256,17.258,17.174,0.005630782,0.005599253,Iceplant_59_2016
Iceplant_60_2016,2016B4_52_I_60_0,2016_Bacteria_4,Bacteria,Iceplant,Iceplant_60,2016_I_60,Plate_8,D7,2016,1992,24,Sonoma,-123.069381,38.320868,12-Jul,16:21,Alive,Am_Br_L,Am_Br,Am_Br,22,6,8,12,7.58,2.27,17.27,17.159,0.007455168,0.0074,Iceplant_60_2016
Iceplant_61_2016,2016B3_68_I_61,2016_Bacteria_3,Bacteria,Iceplant,Iceplant_61,2016_I_61,Plate_7,D9,2016,2016,0.5,BMR,-123.06955,38.320667,29-Jun,NA,Baby,NA,NA,NA,0,0,0,0,8.47,2.163,17.163,16.984,0.012077458,0.011933333,Iceplant_61_2016
Iceplant_62_2016,2016B3_4_I_62,2016_Bacteria_3,Bacteria,Iceplant,Iceplant_62,2016_I_62,Plate_7,D1,2016,2016,0.5,Sonoma,-123.068867,38.321517,30-Jun,NA,Baby,NA,NA,NA,0,0,0,0,8.87,2.29,17.294,17.073,0.014949604,0.014729405,Iceplant_62_2016
Iceplant_63_2016,2016B3_60_I_63,2016_Bacteria_3,Bacteria,Iceplant,Iceplant_63,2016_I_63,Plate_7,D8,2016,2016,0.5,Sonoma,-123.068833,38.321517,1-Jul,NA,Baby,NA,NA,NA,0,0,0,0,8.85,2.204,17.201,17.013,0.012694983,0.012535841,Iceplant_63_2016
Iceplant_6_2016,2016B3_32_I_6_0,2016_Bacteria_3,Bacteria,Iceplant,Iceplant_6,2016_I_6,Plate_7,H4,2016,1995,21,BMR,-123.0701,38.320542,11-Jul,15:42,Alive,Am_Br,Am_Br,NA,12,11.5,3,8.833333333,7.58,2.243,17.25,17.178,0.004820891,0.004797761,Iceplant_6_2016
Iceplant_7_2016,2016B2_27_I_7_0,2016_Bacteria_2,Bacteria,Iceplant,Iceplant_7,2016_I_7,Plate_6,C4,2016,2009,7,BMR,-123.070335,38.320284,28-Jun,18:00,Alive,NA,NA,NA,0,4.5,4.5,3,8.48,2.255,17.27,17.114,0.010498688,0.01038961,Iceplant_7_2016
Iceplant_8_2016,2016B2_49_I_8_0,2016_Bacteria_2,Bacteria,Iceplant,Iceplant_8,2016_I_8,Plate_6,A7,2016,2005,11,BMR,-123.070146,38.320122,28-Jun,17:20,Alive,Am,NA,NA,12,7,3.5,7.5,6.55,2.27,17.273,17.206,0.004485806,0.004465774,Iceplant_8_2016
